objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
Art Thief,354720,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97278575,5.48413,5.17054,1,24223,11,thing,Art Thief,1,2,15,15,10,2014,,,,,,,,,,standalone,,,,,
Assyria,43152,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307328,6.09055,6.80948,2.9859,2452,2306,thing,Assyria,2,4,90,90,45,2009,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Astra,369270,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,102773089,5.90793,6.69453,2.1463,3463,2064,thing,Astra,2,5,90,90,40,2022,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Automobiles,180680,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696478,6.56189,7.20718,2.2152,1084,3034,thing,Automobiles,2,5,75,75,45,2016,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Automobiles: Racing Season,213980,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696482,5.75537,7.52013,2.125,0,904,thing,Automobiles: Racing Season,2,5,75,75,45,2017,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
AVES,224122,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103492069,5.48651,5.4486,1,23990,104,thing,AVES,2,5,15,15,10,2017,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Azul,230802,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,85636671,7.64039,7.75035,1.7638,75,144068,thing,Azul,2,4,45,45,30,2017,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Baby Dinosaur Rescue,352375,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93936504,5.45003,4.96761,1.1667,25688,36,thing,Baby Dinosaur Rescue,2,4,30,30,10,2019,,,5–12,No necessary in-game text,,,,,,standalone,,,,,
Backgammon,2397,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307041,6.36888,6.56354,2.0122,1507,22466,thing,Backgammon,2,2,30,30,30,1630,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Bahama Taxi,174337,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88233247,5.48234,4.94508,1,24414,23,thing,Bahama Taxi,2,4,60,60,30,2012,,,,No necessary in-game text,,,,,,standalone,,,,,
Balloon Pop!,212027,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697209,5.37295,4.83456,1,26113,351,thing,Balloon Pop!,1,10,10,10,10,2017,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Bamboozle,378082,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,102498156,5.49722,5.44878,1,22439,6,thing,Bamboozle,2,2,15,15,10,2023,,,,No necessary in-game text,,,,,,standalone,,,,,
Band of Brothers: Screaming Eagles,41429,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101696383,6.00868,7.70251,2.7867,2824,1762,thing,Band of Brothers: Screaming Eagles,2,2,90,90,90,2011,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Bandada,306182,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99238820,5.64472,6.28674,1.7857,6831,709,thing,Bandada,1,2,20,20,10,2022,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Bandido,191925,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77419578,6.12455,6.42329,1.1032,2329,10484,thing,Bandido,1,4,15,15,10,2016,,,6+,No necessary in-game text,,,,,,standalone,,,,,
BANG!,3955,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,84215035,6.33021,6.48895,1.6322,1601,41090,thing,BANG!,4,7,40,40,20,2002,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Bao,14186,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101696523,5.57442,6.60373,3.3529,9803,306,thing,Bao,2,2,40,40,40,0,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Barbu,6974,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,72567562,5.57312,6.65534,2.2857,9907,98,thing,Barbu,4,4,180,180,180,1930,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Bärenpark,219513,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93525230,7.09439,7.29629,1.6589,372,25408,thing,Bärenpark,2,4,45,45,30,2017,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Barrage,251247,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96004518,7.84723,8.16572,4.1162,37,21419,thing,Barrage,1,4,120,120,60,2019,,,14+,No necessary in-game text,,,,,,standalone,,,,,
The Battle for Hill 218,32484,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307879,6.00643,6.57903,1.7102,2833,2113,thing,The Battle for Hill 218,2,2,30,30,15,2007,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Battle of LITS,105265,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307344,5.55617,5.97936,1.8,11226,53,thing,Battle of LITS,2,2,20,20,20,2011,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Battle Sheep,54137,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307123,6.25514,6.60202,1.4571,1819,6485,thing,Battle Sheep,2,4,15,15,15,2010,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Battleships,27190,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307301,5.41245,4.66333,1,26002,290,thing,Battleships,2,2,60,60,60,1931,,,6,,,,,,,standalone,,,,,
Belote,15722,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307016,5.63402,6.59318,2.6364,7139,305,thing,Belote,2,4,20,20,20,1930,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Betta,329227,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,93302813,5.48111,5.38837,1.2,24525,139,thing,Betta,1,5,20,20,20,2022,,,8,No necessary in-game text,,,,,,standalone,,,,,
Beyond the Sun,317985,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696697,7.60035,7.93417,3.1214,84,16743,thing,Beyond the Sun,2,4,120,120,60,2020,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Bids,296420,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81698287,5.47461,5.62778,1.4,24929,10,thing,Bids,3,6,50,50,20,2018,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Big Monster,246567,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87138223,5.78237,6.81627,1.9286,4545,965,thing,Big Monster,2,6,30,30,20,2018,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Big Time Soccer,212436,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77687353,5.37213,3.25289,1.3333,26116,9,thing,Big Time Soccer,2,2,60,60,30,2016,,,,,,,,,,standalone,,,,,
Big Two,13597,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104865293,5.63897,6.49124,1.7297,6986,213,thing,Big Two,2,4,30,30,30,0,,,10+,No necessary in-game text,,,,,,standalone,,,,,
BIKIDO,372811,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697952,5.46525,4.62,0,25329,19,thing,BIKIDO,2,2,45,45,20,2022,,,,,,,,,,standalone,,,,,
Blackjack,10816,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98011626,5.07771,4.74953,1.474,26254,784,thing,Blackjack,2,10,30,30,30,1700,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Blaze,332317,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,82302469,5.51702,5.79995,2,17724,470,thing,Blaze,3,5,20,20,20,2021,,,,,,,,,,standalone,,,,,
Blitz,19957,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472558,5.50119,5.52648,1.1304,21649,243,thing,Blitz,2,10,30,30,10,0,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Block Arena,262157,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104311967,5.4885,5.075,2,23760,6,thing,Block Arena,2,2,20,20,15,2018,,,8,,,,,,,standalone,,,,,
Blockers!,29073,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,83492912,6.08369,6.63475,1.6902,2486,2510,thing,Blockers!,2,5,40,40,30,2007,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Blood Rage,170216,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88233147,7.75899,7.93143,2.8771,48,55917,thing,Blood Rage,2,4,90,90,60,2015,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Blooms,249095,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307946,5.58266,6.55259,1.75,9302,53,thing,Blooms,2,2,30,30,10,2018,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Blue Skies,309000,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,79768117,5.61352,6.21049,2.0769,7820,361,thing,Blue Skies,2,5,45,45,45,2020,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Bohnanza,11,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472071,6.94313,7.05797,1.6683,523,72417,thing,Bohnanza,2,7,45,45,45,1997,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Bombay,40214,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307903,5.82096,6.20159,2.04,4153,2178,thing,Bombay,2,5,60,60,30,2009,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Boomerang: Australia,296167,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,76583391,6.00965,6.89718,1.5152,2819,1462,thing,Boomerang: Australia,2,4,30,30,15,2020,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Boomerang: Europe,300367,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472116,5.85277,6.82713,1.7647,3872,1177,thing,Boomerang: Europe,2,4,30,30,15,2020,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Boomerang: USA,300369,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472120,5.84669,6.94881,1.6667,3926,1101,thing,Boomerang: USA,2,4,30,30,15,2020,,,10+,No necessary in-game text,,,,,,standalone,,,,,
boop.,355433,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103383246,6.34533,7.12641,1.3556,1556,4093,thing,boop.,2,2,30,30,20,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
The Boss,85005,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307246,6.20602,6.78763,1.7843,2000,2980,thing,The Boss,2,6,40,40,40,2010,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Boss Quest,285892,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,85809809,5.51462,5.913,1.7143,18342,128,thing,Boss Quest,2,5,20,20,20,2019,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Boxes,17106,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,95692635,5.39064,4.69652,1.5854,26074,174,thing,Boxes,2,2,15,15,15,1889,,,5–12,No necessary in-game text,,,,,,standalone,,,,,
Break the Code,227466,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,95407605,6.17459,7.10073,1.6667,2099,2615,thing,Break the Code,2,4,15,15,15,2017,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Briscola,11733,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307851,5.67645,6.39303,1.5,6121,571,thing,Briscola,2,6,30,30,30,1800,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Bubblee Pop,192343,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307057,5.76798,6.1926,1.325,4686,1887,thing,Bubblee Pop,1,2,20,20,20,2016,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Bubblee Pop: Level Up!,229843,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71331290,5.54779,6.75466,1.3333,0,220,thing,Bubblee Pop: Level Up!,1,2,30,30,30,2017,,,,No necessary in-game text,,,,,,expansion,,,,,
Bug,240835,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,83022138,5.57239,6.61662,2.1429,9961,62,thing,Bug,2,2,30,30,10,2017,,,8+,No necessary in-game text,,,,,,standalone,,,,,
The Builders: Antiquity,161226,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307211,6.02722,6.64513,1.9155,2735,3519,thing,The Builders: Antiquity,2,4,30,30,30,2015,,,10+,No necessary in-game text,,,,,,standalone,,,,,
The Builders: Middle Ages,144553,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307093,6.15647,6.47752,1.7953,2178,6759,thing,The Builders: Middle Ages,2,4,30,30,30,2013,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Burgle Bros.,172081,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472065,7.11099,7.43859,2.3003,354,17859,thing,Burgle Bros.,1,4,90,90,45,2015,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Butterfly,284229,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,75095873,5.85073,6.71687,1.2727,3892,529,thing,Butterfly,2,5,45,45,30,2019,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Buttons,181390,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307163,5.51263,5.57976,1.1538,18850,167,thing,Buttons,2,4,30,30,20,2015,,,6+,No necessary in-game text,,,,,,standalone,,,,,
BuyWord,8920,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87138174,5.72299,6.24279,1.8046,5305,1130,thing,BuyWord,1,4,45,45,45,2004,,,8+,Unplayable in another language,,,,,,standalone,,,,,
Cacao,171499,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77091079,6.7979,7.07925,1.8205,694,13695,thing,Cacao,2,4,45,45,45,2015,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Can't Stop,41,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71306790,6.75098,6.9115,1.1484,769,17695,thing,Can't Stop,2,4,30,30,30,1980,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Can't Stop Express,217547,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472096,5.70611,6.0852,1.2273,5588,1228,thing,Can't Stop Express,1,4,30,30,30,1989,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Canosa,288648,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,84856509,5.51073,5.83224,2.5,19323,82,thing,Canosa,2,2,20,20,20,2020,,,,,,,,,,standalone,,,,,
Caper: Europe,328565,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97788034,6.94617,7.72449,2.1034,519,7949,thing,Caper: Europe,2,2,35,35,25,2022,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Caravan,269789,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697230,5.77079,6.62129,1.7692,4659,511,thing,Caravan,2,4,45,45,45,2019,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Carcassonne,822,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71306781,7.29724,7.4105,1.894,224,194043,thing,Carcassonne,2,5,45,45,30,2000,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Carcassonne: Expansion 1 – Inns & Cathedrals,2993,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332734,7.39918,7.63493,1.9269,0,49532,thing,Carcassonne: Expansion 1 – Inns & Cathedrals,2,6,60,60,60,2002,,,8+,No necessary in-game text,,,,,,expansion,,,,,
Carcassonne: Expansion 2 – Traders & Builders,5405,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332737,7.33408,7.61439,2.0593,0,41290,thing,Carcassonne: Expansion 2 – Traders & Builders,2,6,60,60,60,2003,,,8+,No necessary in-game text,,,,,,expansion,,,,,
Carcassonne: Expansion 3 – The Princess & The Dragon,15158,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,72739792,6.51802,6.80256,1.9933,0,26628,thing,Carcassonne: Expansion 3 – The Princess & The Dragon,2,6,60,60,60,2005,,,8+,No necessary in-game text,,,,,,expansion,,,,,
Carcassonne: Hunters and Gatherers,4390,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,78089034,6.86668,7.1304,1.9218,622,17800,thing,Carcassonne: Hunters and Gatherers,2,5,35,35,35,2002,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Carcassonne: The River,2591,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332732,6.72256,7.02219,1.6938,0,22261,thing,Carcassonne: The River,2,5,45,45,30,2001,,,6+,No necessary in-game text,,,,,,expansion,,,,,
Cardiceo,337503,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,83492352,5.39892,3.55542,1,26046,6,thing,Cardiceo,2,6,60,60,30,2016,,,,,,,,,,standalone,,,,,
Carnegie,310873,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697187,7.51973,8.03096,3.829,104,12389,thing,Carnegie,1,4,120,120,90,2022,,,14+,No necessary in-game text,,,,,,standalone,,,,,
The Castles of Burgundy,84876,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83585429,8.0157,8.14058,2.9815,16,77204,thing,The Castles of Burgundy,2,4,90,90,30,2011,,,12+,No necessary in-game text,,,,,,standalone,,,,,
The Castles of Burgundy,271320,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83585433,7.93156,8.45376,2.9352,0,22087,thing,The Castles of Burgundy,1,4,120,120,70,2019,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Castles of Caleira,236905,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472765,5.4969,5.51762,1.1429,22489,199,thing,Castles of Caleira,2,4,10,10,5,2018,,,,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Cat Café,279135,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98957509,5.75372,6.40069,1.6,4868,1461,thing,Cat Café,2,4,30,30,30,2019,,,10+,No necessary in-game text,,,,,,standalone,,,,,
CATAN,13,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,92166219,6.92305,7.09974,2.2929,551,206367,thing,CATAN,3,4,120,120,60,1995,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Caverna: The Cave Farmers,102794,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98011632,7.76504,7.94788,3.7791,46,44331,thing,Caverna: The Cave Farmers,1,7,210,210,30,2013,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Caylus,18602,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307099,7.51924,7.71717,3.7959,105,28829,thing,Caylus,2,5,150,150,60,2005,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Celestia,175117,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307121,6.68788,6.94565,1.3271,876,15394,thing,Celestia,2,6,30,30,30,2015,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Celestia: Grappling Hook Promo,207852,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71331376,5.62325,7.26683,1,0,675,thing,Celestia: Grappling Hook Promo,2,6,30,0,30,2016,,,8+,No necessary in-game text,,,,,,expansion,,,,,
Century: Golem Edition,232832,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94822642,7.25196,7.5989,1.6885,249,18691,thing,Century: Golem Edition,2,5,45,45,30,2017,,,8+,No necessary in-game text,,,,,,standalone,,,,,
